ZipCode,Population,case_count_cumulative,case_count_last_30_days,case_count_last_14_days,case_count_per_100K_cumulative,case_count_per_100K_last_30_days,case_count_per_100K_last_14_days,population_density,num_universities,num_uni_students
43616,20380,914,352,181,4484.8,1727.2,888.1,498.6,0,0
43617,7268,281,151,71,3866.3,2077.6,976.9,1263.4,0,0
43618,None,None,None,None,None,None,None,None,0,0
43619,7296,252,110,55,3453.9,1507.7,753.8,687.6,0,0
43620,5863,159,57,36,2711.9,972.2,614,5445.7,0,0
43623,19936,757,357,154,3797.2,1790.7,772.5,3011.4,0,0
43635,None,None,None,None,None,None,None,None,0,0
43652,None,None,None,None,None,None,None,None,0,0
43654,None,None,None,None,None,None,None,None,0,0
43656,None,None,None,None,None,None,None,None,0,0
43657,None,None,None,None,None,None,None,None,0,0
43659,None,None,None,None,None,None,None,None,0,0
43660,None,None,None,None,None,None,None,None,0,0
43661,None,None,None,None,None,None,None,None,0,0
43666,None,None,None,None,None,None,None,None,0,0
43667,None,None,None,None,None,None,None,None,0,0
43681,None,None,None,None,None,None,None,None,0,0
43682,None,None,None,None,None,None,None,None,0,0
43697,None,None,None,None,None,None,None,None,0,0
43699,None,None,None,None,None,None,None,None,0,0
43701,55595,1761,957,492,3167.6,1721.4,885,301.6,1,2100
43702,None,None,None,None,None,None,None,None,0,0
43711,116,None,None,None,None,None,None,112.7,0,0
43713,7066,251,161,64,3552.2,2278.5,905.7,78.9,0,0
43716,1874,49,30,13,2614.7,1600.9,693.7,24.3,0,0
43717,143,6,None,None,4195.8,None,None,616.1,0,0
43718,2926,67,49,11,2289.8,1674.6,375.9,65.8,0,0
43719,2689,62,31,11,2305.7,1152.8,409.1,70.1,0,0
43720,1331,33,22,None,2479.3,1652.9,None,26.6,0,0
43721,81,None,None,None,None,None,None,107.5,0,0
43722,306,None,None,None,None,None,None,406.9,0,0
43723,5185,130,61,27,2507.2,1176.5,520.7,269.5,0,0
43724,9319,500,314,89,5365.4,3369.5,955,59.7,0,0
43725,19592,521,266,153,2659.2,1357.7,780.9,146.5,0,0
43727,1163,48,30,15,4127.3,2579.5,1289.8,16.5,0,0
43728,1602,23,14,8,1435.7,873.9,499.4,35.7,0,0
43730,2287,53,32,19,2317.4,1399.2,830.8,53.0,0,0
43731,5379,144,96,61,2677.1,1784.7,1134.0,109.8,0,0
43732,1448,37,18,7,2555.2,1243.1,483.4,24.3,0,0
43733,None,None,None,None,None,None,None,306.7,0,0
43734,1738,39,30,20,2244.0,1726.1,1150.7,352.5,0,0
43735,438,12,10,None,2739.7,2283.1,None,258.6,0,0
43736,35,None,None,None,None,None,None,763.8,0,0
43738,103,None,None,None,None,None,None,768.6,0,0
43739,2179,51,31,15,2340.5,1422.7,688.4,70.5,0,0
43740,277,5,None,None,1805.1,None,None,1363.4,0,0
43746,1215,25,14,8,2057.6,1152.3,658.4,71.4,0,0
43747,879,19,11,6,2161.5,1251.4,682.6,38.0,0,0
43748,2752,64,35,18,2325.6,1271.8,654.1,78.9,0,0
43749,2376,44,19,8,1851.9,799.7,336.7,28.9,0,0
43750,115,None,None,None,None,None,None,133.1,0,0
43752,None,None,None,None,None,None,None,None,0,0
43754,1618,30,10,None,1854.1,618,None,23.6,0,0
43755,1983,22,8,None,1109.4,403.4,None,40.7,0,0
43756,4834,147,104,61,3041.0,2151.4,1261.9,37.4,0,0
43757,None,None,None,None,None,None,None,None,0,0
43758,3060,60,33,18,1960.8,1078.4,588.2,37.0,0,0
43759,57,None,None,None,None,None,None,343.1,0,0
43760,2138,29,14,10,1356.4,654.8,467.7,54.7,0,0
43761,49,None,None,None,None,None,None,79.6,0,0
43762,5997,154,75,42,2568.0,1250.6,700.4,83.4,1,2074
43764,8750,305,114,56,3485.7,1302.9,640,138.7,0,0
43766,1543,29,14,7,1879.5,907.3,453.7,44.3,0,0
43767,986,42,30,12,4259.6,3042.6,1217.0,40.7,0,0
