Zip Code ,Population ,Case Count - Cumulative,Case Count - Last 30 Days ,Case Count - Last 14 Days ,Case Count Per 100K - Cumulative,Case Count Per 100K - Last 30 Days,Case Count Per 100K - Last 14 Days
43832,7349,234,111,61,3184.10,1510.40,830
43836,108,N/A,N/A,N/A,N/A,N/A,N/A
43837,1658,46,34,12,2774.40,2050.70,723.8
43840,1253,33,16,9,2633.70,1276.90,718.3
43842,330,10,7,N/A,3030.30,2121.20,N/A
43843,1062,31,18,7,2919.00,1694.90,659.1
43844,3519,83,55,21,2358.60,1562.90,596.8
43845,4607,181,124,39,3928.80,2691.60,846.5
43901,1984,48,18,10,2419.40,907.3,504
43902,116,7,6,N/A,6034.50,5172.40,N/A
43903,2108,32,13,8,1518.00,616.7,379.5
43905,107,N/A,N/A,N/A,N/A,N/A,N/A
43906,8643,146,76,30,1689.20,879.3,347.1
43907,5760,100,54,28,1736.10,937.5,486.1
43908,1599,23,7,N/A,1438.40,437.8,N/A
43910,3208,62,42,22,1932.70,1309.20,685.8
43912,6317,135,77,44,2137.10,1218.90,696.5
43913,1596,21,11,6,1315.80,689.2,375.9
43914,194,5,N/A,N/A,2577.30,N/A,N/A
43915,1172,36,15,6,3071.70,1279.90,511.9
43917,3380,41,19,8,1213.00,562.1,236.7
43920,22290,547,337,191,2454.00,1511.90,856.9
43925,425,N/A,N/A,N/A,N/A,N/A,N/A
43926,236,6,6,N/A,2542.40,2542.40,N/A
43927,124,N/A,N/A,N/A,N/A,N/A,N/A
43928,21,N/A,N/A,N/A,N/A,N/A,N/A
43930,795,16,11,6,2012.60,1383.60,754.7
43931,375,7,5,N/A,1866.70,1333.30,N/A
43932,836,18,15,11,2153.10,1794.30,1315.80
43933,1875,31,22,6,1653.30,1173.30,320
43934,466,5,N/A,N/A,1073.00,N/A,N/A
43935,8870,185,117,51,2085.70,1319.10,575
43938,5320,95,65,35,1785.70,1221.80,657.9
43939,439,8,N/A,N/A,1822.30,N/A,N/A
43940,102,7,N/A,N/A,6862.70,N/A,N/A
43942,2767,53,36,8,1915.40,1301.00,289.1
43943,3029,53,30,17,1749.80,990.4,561.2
43944,2221,44,35,24,1981.10,1575.90,1080.60
43945,3189,49,18,9,1536.50,564.4,282.2
43946,2136,41,23,9,1919.50,1076.80,421.3
43947,5297,147,81,28,2775.20,1529.20,528.6
43948,586,N/A,N/A,N/A,N/A,N/A,N/A
43950,16446,615,214,64,3739.50,1301.20,389.2
43951,64,N/A,N/A,N/A,N/A,N/A,N/A
43952,18498,518,341,222,2800.30,1843.40,1200.10
43953,11656,263,144,81,2256.30,1235.40,694.9
